part_number,made_by,car_brand,model,name,count,price
26300-35503,Hyundai,Hyundai,Tucson,фильтр маслянный,6,39.15
J1317003,Nipparts,Hyundai,KIA,фильтр маслянный ,1,37.8
26300-3E010,Hyundai,Hyundai,"KIA V=2.7l, c 2007г",фильтр маслянный ,2,64.8
26320-27000,Hyundai,Hyundai,Tucson,фильтр маслянный - картридж (дизель),2,86.4
26320-27401,Hyundai,Hyundai,"Santa Fe, с 2006г. ",фильтр маслянный - картридж (дизель),2,68.85
26320-2A002,Hyundai,Hyundai,KIA,фильтр маслянный - картридж (дизель),2,70.2
J1 310 302,Nipparts,KIA,"H-1, Carnival",фильтр маслянный,1,68.85
473H-1012010,Chery,KIA Hyundai,Jaggi SQR71130S21,фильтр маслянный ,1,41.85
OC 264,Knecht,Chery,Octavia (U2),фильтр маслянный,2,54
90915-YZZD2,Toyota,VAG,"Land Cruiser Prado, 02",фильтр маслянный,1,58.05
23.129.02,UFI,VAG,"Lanos, Nubira",фильтр маслянный,3,25.65
23.127.00,UFI,Toyota,,фильтр маслянный (высокий),2,25.65
23.114.01,UFI,Chevrolet,Sens VAZ,фильтр маслянный,3,29.7
OE 666/1,Filtron,Daewoo,Master,фильтр маслянный ,1,82.35
OC 196,Knecht,VAZ, MAZDA,фильтр маслянный ,1,44.55
OC 105,Knecht,Daewoo," Т-4   2,5TDI, с 1993г ",фильтр маслянный ,2,93.15
OX 401D,Knecht,Daewoo,"Astra H,G",фильтр маслянный ,1,78.3
0 986 452 061,Bosch,VAG,"Qashqai, 2.0",фильтр маслянный,1,52.65
WL 7254,WIX,Renault,"Kangoo, Megane, Clio III",фильтр маслянный (Diesel),1,32.4
WL 7086,WIX,VAG,Citroen,фильтр маслянный (Diesel),3,29.7
23.280.00,UFI,MITSUBISHI,Connect 1.8TDI,фильтр маслянный,1,66.15
0 986 452 041,Bosch,VAG,Dooblo 1.4l,фильтр маслянный ,1,48.6
OX 191D,Knecht,VAG,"Transit, Mondeo","фильтр маслянный (2,0tdi, 2,4 di)",1,90.45
28113-08000,Hyundai,Mitsubishi,Tucson,фильтр воздушный,2,101.25
28113-08000,Anam,Opel,Tucson,фильтр воздушный,1,83.7
28113-1C000,Hyundai,Opel,Getz,Фильтр воздушный,1,63.45
B20516PR,JC Premium,Nissan,Getz,Фильтр воздушный,1,33.75
28113-1G000,Hyundai,Renault,Accent,Фильтр воздушный,1,76.95
B20324PR,JC Premium,Peugeot,Accent,Фильтр воздушный,1,37.8
28113-2H000,Hyundai,Ford,Elantra new,Фильтр воздушный,1,89.1
C 24196,MANN,Fiat,H-1,Фильтр воздушный,1,90.45
PAA-051,PMC,Ford,"Sonata, NF с 2004г.","Фильтр воздушный, 2,0, 2,4l",1,72.9
PAA-055,PMC,Honda,"Santa Fe, с 2006г. ",фильтр воздушный,1,63.45
28113-2F800,KIA,Hyundai,"Cerato, с 2006г. ",фильтр воздушный,1,94.5
PAB-065,PMC ,Hyundai,"Cerato, с 2006г. ",фильтр воздушный,1,74.25
28113-2F000,KIA,Hyundai,"Cerato, с 2006г. ",фильтр воздушный,1,82.35
"96,182,220",Daewoo,Hyundai,"Lanos, Sens",фильтр воздушный ,2,36.45
PAC-017,PMC ,Hyundai,Aveo,фильтр воздушный ,1,56.7
C 3028,MANN,Hyundai,Lacetti,фильтр воздушный,1,58.05
U733/606,Champion,Hyundai,"T-4,2000г дизель",Фильтр воздушный,2,86.4
B22089PR,JC Premium,Hyundai,"Corolla, 2002г.",Фильтр воздушный,1,33.75
S21-1109111,Chery,Hyundai,Jaggi SQR71130S21,фильтр воздушный,1,48.6
B21078PR,JC Premium,Hyundai,Master,Фильтр воздушный,1,36.45
WA6703,WIX,Hyundai,"Kangoo, Megane, Clio III",фильтр воздушный,1,60.75
"7,701,044,101",Renault,KIA,"Kangoo, Megane, Clio III",фильтр воздушный ,1,79.65
B25046PR,JC Premium,KIA,"Pajero III (V60,V70) 3,2D",фильтр воздушный,1,83.7
30.301.00,UFI,KIA,Dooblo,фильтр воздушный,1,103.95
31910-2H000,Hyundai,KIA,Elantra new,Фильтр топливный,1,194.4
31911-2E000,Hyundai,Hyundai,Tucson,Фильтр топливный,2,297
31911-2е900,Hyundai,KIA,Tucson,Картридж топливного фильтра,1,203.85
31112-1G000,Hyundai,KIA,"Accent, 2006г.",Фильтр топливный,1,209.25
31112-1G500,Hyundai,Daewoo,"Accent, 2006г.",Фильтр топливный,1,336.15
31922-2B900,Hyundai,Chevrolet,"Santa Fe, 2006",Картридж топливного фильтра (дизель),1,322.65
J1330501,Nipparts,Chevrolet,H-1,Фильтр топливный,1,62.1
"96,444,649",Daewoo,OPEL,"Lanos, Sens",Фильтр топливный ,1,36.45
ST 342,SCT,VAG,"Lanos, Sens",Фильтр топливный,1,24.3
31.515.00,UFI,Toyota,"Astra H,G",Фильтр топливный,1,63.45
"7,701,207,667",Renault,VAG,Trafic,Фильтр топливный (Nissan Interstar),1,183.6
KX 206D,Knecht,VAG,Trafic,Фильтр топливный ,1,83.7
11-0276,Kager,Toyota,,Фильтр топливный (вставка),1,94.5
B14-1117110,Chery,Chery,Jaggi SQR71130S21,Фильтр топливный,1,71.55
1001270004,Meyle,Peugeot," Т-4   2,5TDI, с 1993г ","Фильтр топливный(AJT, ACV)",1,98.55
PP 839/10,Filtron,Renault," А-4   2,3TDI, с 1993г ",Фильтр топливный,2,101.25
WF 8014,WIX,Ford,"Kangoo, Megane, Clio III",Фильтр топливный,2,35.1
J1335052,Nipparts,VAG,Lanser 9,Фильтр топливный (погружной),1,438.75
WF8195,WIX,VAG,Expert (224),Фильтр топливный,1,97.2
ST 329,SCT,Nissan,,Фильтр топливный на резьбах,1,27
ST 330,SCT,Renault,,Фильтр топливный на резьбах,2,22.95
31453-2D530,Hyundai,Renault,Tucson,Фильтр воздушный абсорбера топливного бака,1,97.2
31453-2H500,Hyundai,Mitsubishi,Elantra new,Фильтр воздушный абсорбера топливного бака,1,81
PMA-024,PMC,Fiat,Elantra new,Фильтр салона ,2,81
97133-2E250,Hyundai,Ford,Tucson,Фильтр салона,1,67.5
WP9304,WIX ,Peugeot,Tucson,Фильтр салона,1,52.65
WP 9300,WIX ,Mitsubishi,"Cerato, с 2004г. ",Фильтр салона ,1,48.6
97133-3K000,Hyundai,VAZ,"Santa Fe, с 2006г. ",Фильтр салона по 2007г.в.,1,240.3
PMA-031,PMC,Hyundai,"Santa Fe, с 2007г. ",Фильтр салона,1,95.85
97133-1E100,Anam,Hyundai,Accent,Фильтр салона ,1,95.85
FS 8191,Hexen ,Hyundai,"Aveo, 1.6l",Фильтр салона (Шанхай) ,1,139.05
B40001PR,JC Premium ,Hyundai,"Nubira, Lanos",Фильтр салона,2,54
LA 31,Knecht,Hyundai,Octavia (U2),Фильтр салона,4,54
DCF001P,Denso,Hyundai,Octavia (U2),Фильтр салона,1,67.5
DCF013P,Denso,Hyundai,"Kangoo, Megane, Clio III",Фильтр салона,1,74.25
46321-39010,Hyundai,Hyundai,Tucson,фильтр маслянный АКПП,1,121.5
21512-23001,Hyundai,Hyundai,"Tucson 2,0l",Пробка сливная масляного картера,2,18.9
21513-23001,Hyundai,Hyundai,"Tucson 2,0l",Прокладка сливной пробки поддона двигателя,2,5.4
