name,sae,price,count,specification,description
SHELL HELIX ULTRA EXTRA ,5w/30,110.00,95.0," ACEA C2,C3(A3/B4), MB 229.51; 229.31, BMW Longlife-04, VW 504.00/507.00, Chrysler MS-11106,Porsche C30,PSA B71 2290,Fiat 9.55535 S1","Повністю синтетичне моторне масло.Моторне масло з низькою зольністю, зі зниженим вмістом фосфору та сірки для захисту будь-яких бензинових із каталітичними конверторами та дизельних двигунів,що забезпечує додатковий захист дизельного сажевого фільтра.Підходить для автомобілів зі збільшеним інтервалом заміни масла (до 30 000 км або 2 років), без врахування умов експлуатації.


"
,,,,,
,,,,,
,,,,,
SHELL HELIX DIESEL HX7 AV  ,5w/30,80.00,27.0,"ACEA C3(A3/B3/В4),API SL/CF,VW  502.00/ 505.00/ 505.01,FORD WSS M2C-917 A","Продукт  удосконалених синтетичних  технологій. Забезпечує найвищий ступінь захисту сучасного дизельного двигуна.Продукт розроблен для моделей дизельних чотирьохциліндрових двигунів VAG,які потребують спеціфікації 505.01(насос-форсунка) та двигунів Ford.Також може використовуватись у бензинових двигунах."
,,,,,
,,,,,
SHELL HELIX ULTRA AG  ,5w/30,95.00,8.0,"API SL/CF, ACEA A3/B3/B4, GM-LL-A-025(Opel B-040-2095),GM-LL-B-025(Opel B-040-2098) ","Продукт удосконалених синтетичних технологій,розроблений для використання в усіх сучасних бензинових та дизельних двигунах.Чудово працює у різних умовах екплуатації,безперервно захищая двигун від небезпечних забруднень та відкладень за рахунок активних миючих технологій. "
,,,,,
,,,,,
SHELL HELIX ULTRA ,5w/40,85.00,11.0,"API SN/CF, ACEA A3/B3/B4, VW 502.00/505.00/503.01, MB 229.5, BMW LongLife-01,Ferrari, Porsche A40, відповідає вимогам PSA-98 E&D,Renault RN 0710&0700,Japanese Engines-qualited,Fiat 9.55535 Z2","Повністю синтетичне моторне масло.Розроблено для сучасних бензинових і дизельних двигунів легкових автомобілів, враховуючи спортивні моделі, які працюють в умовах високих швидкостей, температур та навантажень.Найкраща стабільність технічних характеристик, гарантує надійний довгостроковий захист від зношування.Дозволяє розвинути максимальну потужність та економити паливо, забезпечуючи ефективний захист двигуна."
,,,,,
,,,,,
,,,,,
SHELL HELIX DIESEL ULTRA,5w/40,90.00,2.0,"API CF, ACEA B3/B4, VW 502.00/505.00/503.01,MB 229.5,Renault RN 0710,Fiat 9.55535 Z2","Повністю синтетичне моторне масло.Розроблено для усіх сучасних дизельних двигунів,з турбінами та без,легкових автомобілів з прямим вприском(DI) або форкамерні(IDI).Найкраща стабільність технічних характеристик дозволяє розвинути максимальну потужність та економити паливо, забезпечуючи ефективний захист двигуна."
,,,,,
,,,,,
SHELL HELIX HX7,10w/40,60.00,12.5,"API SM/CF, ACEA A3/B4, JASO ""SG+"", VW 502.00/505.00, MB 229.1,BMW Special oil list,відповідає вимогам PSA E&D, АвтоВАЗ ТТМ 1.97.0727, відповідає вимогам Fiat 9.55535 G2,Ford M2C-153E,Renault RN 0700","Напівсинтетичне моторне масло.Забезпечує відмінне змащення та надійний захист двигуна за будь-яких умов експлуатації.Можливість застосування з каталізаторами та турбонадувом.

"
,,,,,
,,,,,
,,,,,
SHELL HELIX DIESEL HX7,10w/40,65.00,24.5,"API CF, ACEA A3/B3/B4,JASO""SG+"" VW 505.00, MB 229.1, відповідає вимогам PSA E&D, зареєстроване Rover.","Напівсинтетичне моторне масло для дизельних (у тому числі з турбонадувом) легкових автомобілів та легких вантажівок.Унікальна технологія Shell забезпечує відмінне змащення та надійний захист двигуна за будь-яких умов експлуатації.

 "
,,,,,
,,,,,
,,,,,
SHELL HELIX HX3,15w/40,45.00,5.0,API SJ/CF,"Всесезонне мінеральне моторне масло для вітчізняного парку автомобілів та ""вікових"" іномарок.Надійно забезпечує чистоту та стабільне змащення двигуна."
